Model,Sequence,Trans.Error (%),Rot.Error (deg/100m),ATE (m),RPE Trans. (m),RPE Rot. (deg)
baseline,01,23.671383073802186,5.855447746522021,101.69892923073667,0.5415126044668795,0.31036440309699476
qint8v2,01,45.275356472579965,11.305165248108507,42.599927967065504,0.673594795995073,0.5340761518999643
baseline,03,18.3342558234785,11.643981581775549,20.122788170465245,0.12796504245927232,0.283913473786194
qint8v2,03,76.14445676240229,56.93502785606521,13.768953800151706,0.24358895373683395,0.8613428846957011
baseline,04,9.035017291543957,4.87423628499367,6.004527737266195,0.14143936254442058,0.17428457565756583
qint8v2,04,1.5097936901438427,1.346194639223189,0.778120158575499,0.11195790291862391,0.1627094786391015
baseline,05,9.43700275025763,3.906789099356804,37.67897289675224,0.1373907021752464,0.2634451024356764
qint8v2,05,65.11045494457622,54.17229252717508,73.3901779067396,0.4310085620375017,1.048983621825845
baseline,06,17.701004735242854,5.395464266029435,46.787988034435806,0.1808076084802217,0.25054029136471184
qint8v2,06,59.630477047222044,53.680421033729864,37.646766096327084,0.29398951632733283,0.8827501712245613
baseline,07,13.99831747534879,7.4403557706564625,23.16062285988968,0.12332219545148428,0.281594042394161
qint8v2,07,70.0401302555549,73.10937650632262,14.0048748156058,0.24733904022096445,1.3165427274261632
baseline,10,14.913271357797939,4.381154994834499,23.14053300726016,0.15915635046632787,0.3217460908114976
qint8v2,10,62.17051291757725,46.75110848093105,10.732957445035964,0.20138437642999954,0.8327415128899455
