Sequence,Model,Trans.Error (%),Rot.Error (deg/100m),ATE (m),RPE Trans. (m),RPE Rot. (deg)
01,baseline,23.671383073802186,5.855447746522021,101.69892923073667,0.5415126044668795,0.31036440309699476
01,dynamic_qint8_v3,46.30439036372497,13.197211133644002,173.61425283003092,0.4572534219529818,0.4840286987855848
01,static_float16,44.739565320604775,11.122862117268633,42.654587252834396,0.6715064262070715,0.5316809426300276
01,static_float32,44.739565320604775,11.122862117268633,42.654587252834396,0.6715064262070715,0.5316809426300276
01,static_float64,44.744828640819286,11.124697238980866,42.65315703971853,0.6714624377669295,0.5317058759159732
04,baseline,9.035017291543957,4.87423628499367,6.004527737266195,0.14143936254442058,0.17428457565756583
04,dynamic_qint8_v3,15.878588029248919,20.18691261353452,4.036531599891896,0.04104970315746628,0.32289035539461547
04,static_float16,1.8402202490221926,1.5012770271565359,0.702882680163187,0.11112317197510276,0.16167578011002537
04,static_float32,1.8402202490221926,1.5012770271565359,0.702882680163187,0.11112317197510276,0.16167578011002537
04,static_float64,1.8403665418563302,1.5003854435146395,0.7031229119114792,0.11113800991013517,0.16167206397674028
05,baseline,9.43700275025763,3.906789099356804,37.67897289675224,0.1373907021752464,0.2634451024356764
05,dynamic_qint8_v3,51.25186587462728,36.41420466220336,79.45489789086044,0.4395921971576992,0.7135450476675258
05,static_float16,65.02726241604744,54.09972492386114,73.64671658080024,0.4330800808311005,1.047990400384194
05,static_float32,65.02726241604744,54.09972492386114,73.64671658080024,0.4330800808311005,1.047990400384194
05,static_float64,65.02796917501767,54.100532918749465,73.64679060645479,0.4330663151633807,1.048045113457112
06,baseline,17.701004735242854,5.395464266029435,46.787988034435806,0.1808076084802217,0.25054029136471184
06,dynamic_qint8_v3,63.74035658263448,45.03396901521202,79.72342575024584,0.8009775501651425,0.6548271487588885
06,static_float16,60.14561603727172,53.55041906095377,38.01595870118269,0.2937696766892622,0.8832099026538988
06,static_float32,60.14561603727172,53.55041906095377,38.01595870118269,0.2937696766892622,0.8832099026538988
06,static_float64,60.14894874356938,53.550930682781306,38.0177204317298,0.29375877754282603,0.8832358775844534
07,baseline,13.99831747534879,7.4403557706564625,23.16062285988968,0.12332219545148428,0.281594042394161
07,dynamic_qint8_v3,67.50310425945834,76.25280248578905,28.287630662865965,0.28064794067995175,1.0369110606900134
07,static_float16,70.14015709367791,73.11360549699096,14.045812738630806,0.2471465656854695,1.3138852215451056
07,static_float32,70.14015709367791,73.11360549699096,14.045812738630806,0.2471465656854695,1.3138852215451056
07,static_float64,70.1436473562695,73.11998400357542,14.046590371580871,0.2471469849333415,1.3139454664993557
10,baseline,14.913271357797939,4.381154994834499,23.14053300726016,0.15915635046632787,0.3217460908114976
10,dynamic_qint8_v3,68.49865998686535,42.76030769625397,18.48258706893575,0.11268059726156947,0.6506430248542593
10,static_float16,62.16884576267443,46.748457448634426,10.735109328531196,0.2013980660429188,0.832706769634825
10,static_float32,62.16884576267443,46.748457448634426,10.735109328531196,0.2013980660429188,0.832706769634825
10,static_float64,62.17051291757725,46.75110848093105,10.732957445035964,0.20138437642999954,0.8327415128899455
